"filename", "language", "HTML", "YAML", "Markdown", "C++", "Swift", "Dart", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\assets\icons\home-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\assets\icons\home-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\cors.json", "JSON", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, -1, -29
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -19, -56, -13, -88
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -7369, 0, 0, 0, -1, -7370
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\package.json", "JSON", 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -1, -28
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, -1, 0, 3
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\authentication.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\firestore_methods.dart", "Dart", 0, 0, 0, 0, 0, -40, 0, 0, 0, -5, -8, -53
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\signedin_logic.dart", "Dart", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\event.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, -1, 0, 7
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\user.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\basePage.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\buyTicketPage.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 3, 45
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventCreationScreen.dart", "Dart", 0, 0, 0, 0, 0, -210, 0, 0, 0, -11, -18, -239
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventDetails.dart", "Dart", 0, 0, 0, 0, 0, 166, 0, 0, 0, 13, 2, 181
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventcreation_screen.dart", "Dart", 0, 0, 0, 0, 0, -259, 0, 0, 0, -20, -43, -322
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\home_page.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 9, -11, 52
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\checkTheAccessToEvent.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 5, 32, 177
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\scanner.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 7, 20, 69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\editHostProfile.dart", "Dart", 0, 0, 0, 0, 0, 206, 0, 0, 0, 17, 29, 252
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\eventCreationScreen.dart", "Dart", 0, 0, 0, 0, 0, 346, 0, 0, 0, 31, 84, 461
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostAnalytics.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostProfile.dart", "Dart", 0, 0, 0, 0, 0, 316, 0, 0, 0, 12, 42, 370
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\selectEventForAction.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 14, 27, 116
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, -111, 0, 0, 0, -3, -21, -135
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\scanner.dart", "Dart", 0, 0, 0, 0, 0, -39, 0, 0, 0, -10, -18, -67
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\signup_screen.dart", "Dart", 0, 0, 0, 0, 0, -161, 0, 0, 0, 0, -28, -189
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\hostSignUp.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 1, 18, 153
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpLogin.dart", "Dart", 0, 0, 0, 0, 0, 324, 0, 0, 0, 63, 80, 467
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpScreen2.dart", "Dart", 0, 0, 0, 0, 0, 296, 0, 0, 0, 10, 36, 342
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\socialPage.dart", "Dart", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -2, -12
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\splashScreen.dart", "Dart", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -2, -17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userAccessToEvent.dart", "Dart", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -7, -32
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\user_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, -66, 0, 0, 0, -4, -15, -85
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 162, 0, 0, 0, 17, 23, 202
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 13, 24, 139
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 8, 27
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\korazonSingUPLogo.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 3, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 18, 21, 99
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\allowGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 5, 10, 60
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\denyGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\tickCrossAccess.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\alertBox.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\eventCard.dart", "Dart", 0, 0, 0, 0, 0, 169, 0, 0, 0, 13, 14, 196
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\event_card.dart", "Dart", 0, 0, 0, 0, 0, -182, 0, 0, 0, -98, -16, -296
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\followButton.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\pickDateTime.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 10, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\postCard.dart", "Dart", 0, 0, 0, 0, 0, -77, 0, 0, 0, -3, -26, -106
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\selectEventCard.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 35, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\public\index.html", "HTML", 79, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 90
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml", "YAML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html", "HTML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 83, 9, 2, 7, 2, 1899, -7387, 2, -47, 65, 320, -5045